cell,group in,nuclide,mean,std. dev.
1,1,total,0.05829221895538405,0.00042636768535663834
1,2,total,0.017825031873654508,6.561382592202558e-05
1,3,total,0.031983432638015084,0.00014096209666440379
1,4,total,0.03898016076699602,0.00022107127125399007
1,5,total,0.012163539605204022,5.318225870051004e-05
1,6,total,0.07517096774710381,0.0003581951375249154
1,7,total,0.008959776739628472,4.434153428523894e-05
1,8,total,0.040823460381965,0.00025716916281118106
1,9,total,0.011554329577803946,5.228975590069089e-05
1,10,total,0.005527981107396468,2.4483001037223193e-05
1,11,total,0.003031359040077526,1.3851941732425494e-05
1,12,total,0.02700385167122603,9.126455442000208e-05
1,13,total,0.00861994369883144,2.8902666845501458e-05
1,14,total,0.007085621292109824,3.69468774386989e-05
1,15,total,0.010835206325084484,5.960388084503561e-05
1,16,total,0.01002070513511744,3.333054432954281e-05
1,17,total,0.010815269436756049,3.8603047189353515e-05
1,18,total,0.018327701885416582,9.954208082128531e-05
1,19,total,0.060522117844217134,0.0003591070398986765
1,20,total,0.057863096524715246,0.0002868388567800219
1,21,total,0.041528307962184895,0.00023595275449363502
1,22,total,0.03788442240510265,0.0001679598442920223
1,23,total,0.0407076453887744,0.00010846030903570774
1,24,total,0.048014497092882955,0.00027095199310770085
1,25,total,0.05374081742753958,0.00024404118894165186
1,26,total,0.0611316405524337,0.0002780010909922413
1,27,total,0.0709930946918044,0.0003102627718739522
1,28,total,0.10254423088565962,0.0002980183299028486
1,29,total,0.13325686190111138,0.0005729571542495186
1,30,total,0.13304178747751122,0.0005742875468525627
1,31,total,0.12501635356582502,0.0003275340357412472
1,32,total,0.13781854054251919,0.00023025630149953617
1,33,total,0.1573760805143063,0.0004629326057164192
1,34,total,0.17931646519299266,0.0003627988061653923
1,35,total,0.20921678468226004,0.00047718213524109565
1,36,total,0.2365880705474273,0.00039188638133641994
1,37,total,0.2743223608837786,0.0005239630697974782
1,38,total,0.3083260579907599,0.0007979217378206692
1,39,total,0.33800477675927876,0.0006794071638781087
1,40,total,0.36786123571456636,0.0013960994366783287
1,41,total,0.38479221981643746,0.001211400904869878
1,42,total,0.4362001647774648,0.0008414785282827163
1,43,total,0.5014290052879077,0.002163410703987691
1,44,total,0.5534164874133909,0.0019064211785981906
1,45,total,0.6316345250878642,0.0024683731964688215
1,46,total,0.7002691776973189,0.0033160466258197316
1,47,total,0.7931812808246637,0.003487457881963716
1,48,total,0.8839583428849975,0.008477660242311405
1,49,total,0.9826786470728898,0.007265936813212115
1,50,total,1.09859260787573,0.027623538651991256
1,51,total,1.2158164230909478,0.012908765456020838
1,52,total,1.3972262230528336,0.03555486426011369
1,53,total,1.5350827548874564,0.02967646937188043
1,54,total,1.6897406156983361,0.07812583297237485
1,55,total,1.7752638591498042,0.06899156509969932
1,56,total,1.934043483466668,0.060600040034817004
1,57,total,2.0920925989967483,0.10721239913912765
1,58,total,2.250312313818716,0.1197234311542379
1,59,total,2.430865653976472,0.21015836452120093
1,60,total,2.718106669609592,0.12797996239260176
1,61,total,3.2036402363487433,0.3598914998753812
1,62,total,3.5415235344469203,0.44574431824571054
1,63,total,4.059320341062914,0.5322264269128779
1,64,total,4.817463203072553,0.8711027261681651
1,65,total,5.408808233257635,3.0527616010050576
1,66,total,6.048670031103741,1.5985573875158325
1,67,total,7.012086242412989,3.175237632637529
