cell,group in,nuclide,mean,std. dev.
4,1,total,0.0,0.0
4,2,total,0.0,0.0
4,3,total,0.0,0.0
4,4,total,0.0,0.0
4,5,total,0.0,0.0
4,6,total,0.0,0.0
4,7,total,0.0,0.0
4,8,total,0.0,0.0
4,9,total,0.0,0.0
4,10,total,0.0,0.0
4,11,total,0.0,0.0
4,12,total,0.0,0.0
4,13,total,0.0,0.0
4,14,total,0.0,0.0
4,15,total,0.0,0.0
4,16,total,0.0,0.0
4,17,total,0.0,0.0
4,18,total,0.0,0.0
4,19,total,0.0,0.0
4,20,total,0.0,0.0
4,21,total,0.0,0.0
4,22,total,0.0,0.0
4,23,total,0.0,0.0
4,24,total,0.0,0.0
4,25,total,0.0,0.0
4,26,total,0.0,0.0
4,27,total,0.0,0.0
4,28,total,0.0,0.0
4,29,total,0.0,0.0
4,30,total,0.0,0.0
4,31,total,0.0,0.0
4,32,total,0.0,0.0
4,33,total,0.0,0.0
4,34,total,0.0,0.0
4,35,total,0.0,0.0
4,36,total,0.0,0.0
4,37,total,0.0,0.0
4,38,total,0.0,0.0
4,39,total,0.0,0.0
4,40,total,0.0,0.0
4,41,total,0.0,0.0
4,42,total,0.0,0.0
4,43,total,0.0,0.0
4,44,total,0.0,0.0
4,45,total,0.0,0.0
4,46,total,0.0,0.0
4,47,total,0.0,0.0
4,48,total,0.0,0.0
4,49,total,0.0,0.0
4,50,total,0.0,0.0
4,51,total,0.0,0.0
4,52,total,0.0,0.0
4,53,total,0.0,0.0
4,54,total,0.0,0.0
4,55,total,0.0,0.0
4,56,total,0.0,0.0
4,57,total,0.0,0.0
4,58,total,0.0,0.0
4,59,total,0.0,0.0
4,60,total,0.0,0.0
4,61,total,0.0,0.0
4,62,total,0.0,0.0
4,63,total,0.0,0.0
4,64,total,0.0,0.0
4,65,total,0.0,0.0
4,66,total,0.0,0.0
4,67,total,0.0,0.0
4,68,total,0.0,0.0
4,69,total,0.0,0.0
4,70,total,0.0,0.0
4,71,total,0.0,0.0
4,72,total,0.0,0.0
4,73,total,0.0,0.0
4,74,total,0.0,0.0
4,75,total,0.0,0.0
4,76,total,0.0,0.0
4,77,total,0.0,0.0
4,78,total,0.0,0.0
4,79,total,0.0,0.0
4,80,total,0.0,0.0
4,81,total,0.0,0.0
4,82,total,0.0,0.0
4,83,total,0.0,0.0
4,84,total,0.0,0.0
4,85,total,0.0,0.0
4,86,total,0.0,0.0
4,87,total,0.0,0.0
4,88,total,0.0,0.0
4,89,total,0.0,0.0
4,90,total,0.0,0.0
4,91,total,0.0,0.0
4,92,total,0.0,0.0
4,93,total,0.0,0.0
4,94,total,0.0,0.0
4,95,total,0.0,0.0
4,96,total,0.0,0.0
4,97,total,0.0,0.0
4,98,total,0.0,0.0
4,99,total,0.0,0.0
4,100,total,0.0,0.0
4,101,total,0.0,0.0
4,102,total,0.0,0.0
4,103,total,0.0,0.0
4,104,total,0.0,0.0
4,105,total,0.0,0.0
4,106,total,0.0,0.0
4,107,total,0.0,0.0
4,108,total,0.0,0.0
4,109,total,0.0,0.0
4,110,total,0.0,0.0
4,111,total,0.0,0.0
4,112,total,0.0,0.0
4,113,total,0.0,0.0
4,114,total,0.0,0.0
4,115,total,0.0,0.0
4,116,total,0.0,0.0
4,117,total,0.0,0.0
4,118,total,0.0,0.0
4,119,total,0.0,0.0
4,120,total,0.0,0.0
4,122,total,0.0,0.0
4,122,total,0.0,0.0
4,123,total,0.0,0.0
4,125,total,0.0,0.0
4,125,total,0.0,0.0
4,126,total,0.0,0.0
4,127,total,0.0,0.0
4,128,total,0.0,0.0
4,129,total,0.0,0.0
4,131,total,0.0,0.0
4,131,total,0.0,0.0
4,133,total,0.0,0.0
4,133,total,0.0,0.0
4,134,total,0.0,0.0
4,135,total,0.0,0.0
4,136,total,0.0,0.0
4,137,total,0.0,0.0
4,138,total,0.0,0.0
4,139,total,0.0,0.0
4,141,total,0.0,0.0
4,141,total,0.0,0.0
4,142,total,0.0,0.0
4,144,total,0.0,0.0
4,144,total,0.0,0.0
4,145,total,0.0,0.0
4,146,total,0.0,0.0
4,147,total,0.0,0.0
4,148,total,0.0,0.0
4,150,total,0.0,0.0
4,150,total,0.0,0.0
4,151,total,0.0,0.0
4,153,total,0.0,0.0
4,153,total,0.0,0.0
4,154,total,0.0,0.0
4,156,total,0.0,0.0
4,156,total,0.0,0.0
4,158,total,0.0,0.0
4,159,total,0.0,0.0
4,160,total,0.0,0.0
4,161,total,0.0,0.0
4,162,total,0.0,0.0
4,163,total,0.0,0.0
4,164,total,0.0,0.0
4,165,total,0.0,0.0
4,166,total,0.0,0.0
4,167,total,0.0,0.0
4,168,total,0.0,0.0
4,169,total,0.0,0.0
4,170,total,0.0,0.0
4,171,total,0.0,0.0
4,172,total,0.0,0.0
4,172,total,0.0,0.0
