cell,group in,nuclide,mean,std. dev.
3,1,total,0.0,0.0
3,2,total,0.0,0.0
3,3,total,0.0,0.0
3,4,total,0.0,0.0
3,5,total,0.0,0.0
3,6,total,0.0,0.0
3,7,total,0.0,0.0
3,8,total,0.0,0.0
3,9,total,0.0,0.0
3,10,total,0.0,0.0
3,11,total,0.0,0.0
3,12,total,0.0,0.0
3,13,total,0.0,0.0
3,14,total,0.0,0.0
3,15,total,0.0,0.0
3,16,total,0.0,0.0
3,17,total,0.0,0.0
3,18,total,0.0,0.0
3,19,total,0.0,0.0
3,20,total,0.0,0.0
3,21,total,0.0,0.0
3,22,total,0.0,0.0
3,23,total,0.0,0.0
3,24,total,0.0,0.0
3,25,total,0.0,0.0
3,26,total,0.0,0.0
3,27,total,0.0,0.0
3,28,total,0.0,0.0
3,29,total,0.0,0.0
3,30,total,0.0,0.0
3,31,total,0.0,0.0
3,32,total,0.0,0.0
3,33,total,0.0,0.0
3,34,total,0.0,0.0
3,35,total,0.0,0.0
3,36,total,0.0,0.0
3,37,total,0.0,0.0
3,38,total,0.0,0.0
3,39,total,0.0,0.0
3,40,total,0.0,0.0
3,41,total,0.0,0.0
3,42,total,0.0,0.0
3,43,total,0.0,0.0
3,44,total,0.0,0.0
3,45,total,0.0,0.0
3,46,total,0.0,0.0
3,47,total,0.0,0.0
3,48,total,0.0,0.0
3,49,total,0.0,0.0
3,50,total,0.0,0.0
3,51,total,0.0,0.0
3,52,total,0.0,0.0
3,53,total,0.0,0.0
3,54,total,0.0,0.0
3,55,total,0.0,0.0
3,56,total,0.0,0.0
3,57,total,0.0,0.0
3,58,total,0.0,0.0
3,59,total,0.0,0.0
3,60,total,0.0,0.0
3,61,total,0.0,0.0
3,62,total,0.0,0.0
3,63,total,0.0,0.0
3,64,total,0.0,0.0
3,65,total,0.0,0.0
3,66,total,0.0,0.0
3,67,total,0.0,0.0
3,68,total,0.0,0.0
3,69,total,0.0,0.0
3,70,total,0.0,0.0
3,71,total,0.0,0.0
3,72,total,0.0,0.0
3,73,total,0.0,0.0
3,74,total,0.0,0.0
3,75,total,0.0,0.0
3,76,total,0.0,0.0
3,77,total,0.0,0.0
3,78,total,0.0,0.0
3,79,total,0.0,0.0
3,80,total,0.0,0.0
3,81,total,0.0,0.0
3,82,total,0.0,0.0
3,83,total,0.0,0.0
3,84,total,0.0,0.0
3,85,total,0.0,0.0
3,86,total,0.0,0.0
3,87,total,0.0,0.0
3,88,total,0.0,0.0
3,89,total,0.0,0.0
3,90,total,0.0,0.0
3,91,total,0.0,0.0
3,92,total,0.0,0.0
3,93,total,0.0,0.0
3,94,total,0.0,0.0
3,95,total,0.0,0.0
3,96,total,0.0,0.0
3,97,total,0.0,0.0
3,98,total,0.0,0.0
3,99,total,0.0,0.0
3,100,total,0.0,0.0
3,101,total,0.0,0.0
3,102,total,0.0,0.0
3,103,total,0.0,0.0
3,104,total,0.0,0.0
3,105,total,0.0,0.0
3,106,total,0.0,0.0
3,107,total,0.0,0.0
3,108,total,0.0,0.0
3,109,total,0.0,0.0
3,110,total,0.0,0.0
3,111,total,0.0,0.0
3,112,total,0.0,0.0
3,113,total,0.0,0.0
3,114,total,0.0,0.0
3,115,total,0.0,0.0
3,116,total,0.0,0.0
3,117,total,0.0,0.0
3,118,total,0.0,0.0
3,119,total,0.0,0.0
3,120,total,0.0,0.0
3,122,total,0.0,0.0
3,122,total,0.0,0.0
3,123,total,0.0,0.0
3,125,total,0.0,0.0
3,125,total,0.0,0.0
3,126,total,0.0,0.0
3,127,total,0.0,0.0
3,128,total,0.0,0.0
3,129,total,0.0,0.0
3,131,total,0.0,0.0
3,131,total,0.0,0.0
3,133,total,0.0,0.0
3,133,total,0.0,0.0
3,134,total,0.0,0.0
3,135,total,0.0,0.0
3,136,total,0.0,0.0
3,137,total,0.0,0.0
3,138,total,0.0,0.0
3,139,total,0.0,0.0
3,141,total,0.0,0.0
3,141,total,0.0,0.0
3,142,total,0.0,0.0
3,144,total,0.0,0.0
3,144,total,0.0,0.0
3,145,total,0.0,0.0
3,146,total,0.0,0.0
3,147,total,0.0,0.0
3,148,total,0.0,0.0
3,150,total,0.0,0.0
3,150,total,0.0,0.0
3,151,total,0.0,0.0
3,153,total,0.0,0.0
3,153,total,0.0,0.0
3,154,total,0.0,0.0
3,156,total,0.0,0.0
3,156,total,0.0,0.0
3,158,total,0.0,0.0
3,159,total,0.0,0.0
3,160,total,0.0,0.0
3,161,total,0.0,0.0
3,162,total,0.0,0.0
3,163,total,0.0,0.0
3,164,total,0.0,0.0
3,165,total,0.0,0.0
3,166,total,0.0,0.0
3,167,total,0.0,0.0
3,168,total,0.0,0.0
3,169,total,0.0,0.0
3,170,total,0.0,0.0
3,171,total,0.0,0.0
3,172,total,0.0,0.0
3,172,total,0.0,0.0
