cell,group in,nuclide,mean,std. dev.
1,1,total,0.1413819372821008,0.0010341121311572713
1,2,total,0.04323282354958114,0.00015913974359367875
1,3,total,0.07757259765132783,0.0003418893824520663
1,4,total,0.0945424520122632,0.0005361860905258543
1,5,total,0.02950143686669535,0.0001289881976483371
1,6,total,0.1823195803062131,0.0008687660810358106
1,7,total,0.021731026189185956,0.00010754588774035418
1,8,total,0.09901313867209843,0.0006237376050742813
1,9,total,0.02802384981350361,0.00012682347833363144
1,10,total,0.01340755442195355,5.938102336422202e-05
1,11,total,0.007352251237324761,3.3596470941308765e-05
1,12,total,0.06549509315183116,0.00022135288673485836
1,13,total,0.020906794110258087,7.010047013374566e-05
1,14,total,0.01718545091693401,8.961087851294981e-05
1,15,total,0.026279687185508827,0.000144563130419981
1,16,total,0.02430419715455689,8.083983220058345e-05
1,17,total,0.026231331345160647,9.362774804146429e-05
1,18,total,0.044451969850206184,0.00024142915475923823
1,19,total,0.14679022232605102,0.0008709774890004348
1,20,total,0.14034103656519542,0.0006956983798225166
1,21,total,0.10072267257984528,0.0005722793246486495
1,22,total,0.09188479973166495,0.0004073694589059014
1,23,total,0.09873223887406839,0.0002630594090573293
1,24,total,0.11645426212500361,0.0006571664047116553
1,25,total,0.13034286787065916,0.0005918969969149345
1,26,total,0.14826855534531844,0.0006742632746940763
1,27,total,0.17218650633345278,0.0007525106908133976
1,28,total,0.24871056860737908,0.0007228130501439007
1,29,total,0.3232009220639955,0.001389649117610556
1,30,total,0.322679280777932,0.0013928758481398197
1,31,total,0.30321440895157953,0.0007944003822641366
1,32,total,0.33426480669607644,0.0005584631632873883
1,33,total,0.3816996243153456,0.0011227957965950735
1,34,total,0.4349137887296433,0.0008799314840766653
1,35,total,0.5074339628810649,0.0011573565776203606
1,36,total,0.573820224024168,0.0009504804304341213
1,37,total,0.6653408951502692,0.0012708189618978666
1,38,total,0.7478133930226949,0.001935277757624141
1,39,total,0.8197960972035446,0.0016478327516571687
1,40,total,0.8922098920630737,0.003386096730982205
1,41,total,0.9332741883854091,0.0029381290132656276
1,42,total,1.057951026857833,0.002040904309678972
1,43,total,1.2161461006089422,0.005247050603242253
1,44,total,1.3422285421720426,0.004623738037149803
1,45,total,1.5319272321550437,0.005986639206202393
1,46,total,1.6983843709772621,0.008042509764897201
1,47,total,1.9237213644439473,0.008458212802284952
1,48,total,2.143880751553612,0.02056102842605877
1,49,total,2.383305161520449,0.017622185397577775
1,50,total,2.664429318236501,0.06699568659659194
1,51,total,2.948730638987025,0.03130774550428009
1,52,total,3.3887016967461387,0.08623144060255661
1,53,total,3.7230438338419907,0.07197449017300916
1,54,total,4.0981342342767135,0.18947887539588562
1,55,total,4.305553117127014,0.16732546364743942
1,56,total,4.69064025622184,0.1469734208152677
1,57,total,5.073955801229041,0.2600224182603257
1,58,total,5.45768519845933,0.2903653841339138
1,59,total,5.895580290356354,0.509697239929152
1,60,total,6.592224629306695,0.3103898241515456
1,61,total,7.769787241264836,0.872844691027739
1,62,total,8.589254407259292,1.081063368426817
1,63,total,9.845065337686053,1.2908082012187139
1,64,total,11.683786995401679,2.112684268839528
1,65,total,13.117974485978019,7.403858131683631
1,66,total,14.669829659504586,3.8769786575595893
1,67,total,17.00640061080917,7.700898325324725
1,68,total,18.539017671679822,16.166693404530395
1,69,total,20.33367253214699,12.455433685619614
1,70,total,21.483131584529477,17.12519972413808
1,71,total,22.232975759233057,16.794976499743694
1,72,total,0.0,0.0
1,73,total,24.279923780861058,20.704153763828902
1,74,total,25.324832980573312,21.818112458590157
1,75,total,0.0,0.0
1,76,total,28.234912294018816,24.15338483293879
1,77,total,28.690150224262077,33.81787147925454
1,78,total,31.576784604689816,44.656317044086286
1,79,total,31.62964332233977,44.7310705594765
1,80,total,0.0,0.0
1,81,total,36.59276156161568,41.7426522794639
1,82,total,0.0,0.0
1,83,total,42.930983425769945,60.71357900673842
1,84,total,0.0,0.0
1,85,total,0.0,0.0
1,86,total,0.0,0.0
1,87,total,0.0,0.0
1,88,total,57.67613577552182,81.56637343901504
1,89,total,0.0,0.0
1,90,total,0.0,0.0
1,91,total,0.0,0.0
1,92,total,0.0,0.0
1,93,total,0.0,0.0
1,94,total,0.0,0.0
1,95,total,0.0,0.0
1,96,total,0.0,0.0
1,97,total,0.0,0.0
1,98,total,0.0,0.0
1,99,total,0.0,0.0
1,100,total,0.0,0.0
1,101,total,0.0,0.0
1,102,total,0.0,0.0
1,103,total,0.0,0.0
1,104,total,0.0,0.0
1,105,total,0.0,0.0
1,106,total,0.0,0.0
1,107,total,0.0,0.0
1,108,total,0.0,0.0
1,109,total,0.0,0.0
1,110,total,0.0,0.0
1,111,total,0.0,0.0
1,112,total,0.0,0.0
1,113,total,0.0,0.0
1,114,total,0.0,0.0
1,115,total,0.0,0.0
1,116,total,0.0,0.0
1,117,total,0.0,0.0
1,118,total,0.0,0.0
1,119,total,0.0,0.0
1,120,total,0.0,0.0
1,122,total,0.0,0.0
1,122,total,0.0,0.0
1,123,total,0.0,0.0
1,125,total,0.0,0.0
1,125,total,0.0,0.0
1,126,total,0.0,0.0
1,127,total,0.0,0.0
1,128,total,0.0,0.0
1,129,total,0.0,0.0
1,131,total,0.0,0.0
1,131,total,0.0,0.0
1,133,total,0.0,0.0
1,133,total,0.0,0.0
1,134,total,0.0,0.0
1,135,total,0.0,0.0
1,136,total,0.0,0.0
1,137,total,0.0,0.0
1,138,total,0.0,0.0
1,139,total,0.0,0.0
1,141,total,0.0,0.0
1,141,total,0.0,0.0
1,142,total,0.0,0.0
1,144,total,0.0,0.0
1,144,total,0.0,0.0
1,145,total,0.0,0.0
1,146,total,0.0,0.0
1,147,total,0.0,0.0
1,148,total,0.0,0.0
1,150,total,0.0,0.0
1,150,total,0.0,0.0
1,151,total,0.0,0.0
1,153,total,0.0,0.0
1,153,total,0.0,0.0
1,154,total,0.0,0.0
1,156,total,0.0,0.0
1,156,total,0.0,0.0
1,158,total,0.0,0.0
1,159,total,0.0,0.0
1,160,total,0.0,0.0
1,161,total,0.0,0.0
1,162,total,0.0,0.0
1,163,total,0.0,0.0
1,164,total,0.0,0.0
1,165,total,0.0,0.0
1,166,total,0.0,0.0
1,167,total,0.0,0.0
1,168,total,0.0,0.0
1,169,total,0.0,0.0
1,170,total,0.0,0.0
1,171,total,0.0,0.0
1,172,total,0.0,0.0
1,172,total,0.0,0.0
