cell,group in,group out,nuclide,mean,std. dev.
3,1,1,total,0.2215138131003561,0.0028623215134315275
3,1,2,total,0.05426726607968927,0.0012155510135040898
3,1,3,total,0.0,0.0
3,1,4,total,0.0,0.0
3,1,5,total,0.0,0.0
3,1,6,total,0.0,0.0
3,1,7,total,0.0,0.0
3,1,8,total,0.0,0.0
3,1,9,total,0.0,0.0
3,1,10,total,0.0,0.0
3,1,11,total,0.0,0.0
3,1,12,total,0.0,0.0
3,1,13,total,0.0,0.0
3,1,14,total,0.0,0.0
3,1,15,total,0.0,0.0
3,1,16,total,0.0,0.0
3,1,17,total,0.0,0.0
3,1,18,total,0.0,0.0
3,1,19,total,0.0,0.0
3,1,20,total,0.0,0.0
3,1,21,total,0.0,0.0
3,1,22,total,0.0,0.0
3,1,23,total,0.0,0.0
3,1,24,total,0.0,0.0
3,1,25,total,0.0,0.0
3,1,26,total,0.0,0.0
3,1,27,total,0.0,0.0
3,1,28,total,0.0,0.0
3,1,29,total,0.0,0.0
3,1,30,total,0.0,0.0
3,1,31,total,0.0,0.0
3,1,32,total,0.0,0.0
3,1,33,total,0.0,0.0
3,1,34,total,0.0,0.0
3,1,35,total,0.0,0.0
3,1,36,total,0.0,0.0
3,1,37,total,0.0,0.0
3,1,38,total,0.0,0.0
3,1,39,total,0.0,0.0
3,1,40,total,0.0,0.0
3,1,41,total,0.0,0.0
3,1,42,total,0.0,0.0
3,1,43,total,0.0,0.0
3,1,44,total,0.0,0.0
3,1,45,total,0.0,0.0
3,1,46,total,0.0,0.0
3,1,47,total,0.0,0.0
3,1,48,total,0.0,0.0
3,1,49,total,0.0,0.0
3,1,50,total,0.0,0.0
3,1,51,total,0.0,0.0
3,1,52,total,0.0,0.0
3,1,53,total,0.0,0.0
3,1,54,total,0.0,0.0
3,1,55,total,0.0,0.0
3,1,56,total,0.0,0.0
3,1,57,total,0.0,0.0
3,1,58,total,0.0,0.0
3,1,59,total,0.0,0.0
3,1,60,total,0.0,0.0
3,1,61,total,0.0,0.0
3,1,62,total,0.0,0.0
3,1,63,total,0.0,0.0
3,1,64,total,0.0,0.0
3,1,65,total,0.0,0.0
3,1,66,total,0.0,0.0
3,1,67,total,0.0,0.0
3,1,68,total,0.0,0.0
3,1,69,total,0.0,0.0
3,1,70,total,0.0,0.0
3,1,71,total,0.0,0.0
3,1,72,total,0.0,0.0
3,1,73,total,0.0,0.0
3,1,74,total,0.0,0.0
3,1,75,total,0.0,0.0
3,1,76,total,0.0,0.0
3,1,77,total,0.0,0.0
3,1,78,total,0.0,0.0
3,1,79,total,0.0,0.0
3,1,80,total,0.0,0.0
3,1,81,total,0.0,0.0
3,1,82,total,0.0,0.0
3,1,83,total,0.0,0.0
