cell,group in,group out,nuclide,mean,std. dev.
4,1,1,total,0.012455213866411368,0.0007705225887879437
4,1,2,total,0.2544241495324777,0.0009816959713771702
4,1,3,total,0.09867767103621605,0.000653125166808935
4,1,4,total,0.16481167628951934,0.0007500359510368654
4,1,5,total,0.11975810924188962,0.0006093610936067657
4,1,6,total,0.13465528679379898,0.0006684410181029712
4,1,7,total,0.11128076927310576,0.0006808574940147938
4,1,8,total,0.04691033749322385,0.00034392252153562353
4,1,9,total,0.0428347622101341,0.00031443009046436157
4,1,10,total,0.07439985978523378,0.0005162570524189072
4,1,11,total,0.05979302664663157,0.00043924552045870695
4,1,12,total,0.04920800130717331,0.0003272969663345423
4,1,13,total,0.04102100575169664,0.00038208843328571226
4,1,14,total,0.01729520733589097,0.00027278056563517225
4,1,15,total,0.015757457295041806,0.00022849699731968722
4,1,16,total,0.027593472760971748,0.0003277702100345341
4,1,17,total,0.02208409790599466,0.00028005940735278506
4,1,18,total,0.009373464701213445,0.00019642834378612008
4,1,19,total,0.008359051504103158,0.0001596913338379223
4,1,20,total,0.007656489713878369,0.0001431020711328382
4,1,21,total,0.0074665112706032944,0.00013101460823518603
4,1,22,total,0.0064485135745632844,0.00010816069889319446
4,1,23,total,0.015821978275776732,0.00025416008574145025
4,1,24,total,0.004369504195326651,0.0001325879614978392
4,1,25,total,0.0036920338976098857,0.00010758849423693091
4,1,26,total,0.0035701609339994634,0.0001017927264441435
4,1,27,total,0.003161528056011571,0.00010633387155213947
4,1,28,total,0.007652905214948646,0.00016752809321313002
4,1,29,total,0.0021041008717446632,9.167210567703249e-05
4,1,30,total,0.0020933473749555082,8.040003072637442e-05
4,1,31,total,0.004505715154655949,0.0001235352082195817
4,1,32,total,0.004279891722083693,0.00011857703302104026
4,1,33,total,0.0008566952442026826,5.299661909850952e-05
4,1,34,total,0.0022008823428470584,9.564093331905674e-05
4,1,35,total,0.001078934177845219,7.041210532625076e-05
4,1,36,total,0.0008961247324295842,5.643348753993746e-05
4,1,37,total,0.0010753496789155008,6.0335429933388516e-05
4,1,38,total,0.00026883741972887526,2.9129709881956178e-05
4,1,39,total,0.0004910763533714123,3.940455458189911e-05
4,1,40,total,0.00011111946682126843,2.1469462429296265e-05
4,1,41,total,0.0001541334539778885,1.8785878245097005e-05
4,1,42,total,0.0005125833469497221,3.1192036903527565e-05
4,1,43,total,0.00010395046896183175,1.8502182874269635e-05
4,1,44,total,0.0002724219186585936,2.9405586914802075e-05
4,1,45,total,0.00011111946682126843,2.146946242929626e-05
4,1,46,total,6.452098073493003e-05,1.2523209400594743e-05
4,1,47,total,7.527447752408505e-05,1.6224918617601145e-05
4,1,48,total,2.1506993578310017e-05,9.672935770637532e-06
4,1,49,total,4.301398715662003e-05,1.0521456733799806e-05
4,1,50,total,7.168997859436672e-06,5.003848889360921e-06
4,1,51,total,4.301398715662003e-05,1.1707144023640045e-05
4,1,52,total,0.0,0.0
4,1,53,total,7.168997859436672e-06,7.1690078181424825e-06
4,1,54,total,0.0,0.0
4,1,55,total,3.584498929718336e-06,3.5845039090712412e-06
4,1,56,total,3.584498929718336e-06,3.5845039090712412e-06
4,1,57,total,3.584498929718336e-06,3.5845039090712412e-06
4,1,58,total,0.0,0.0
4,1,59,total,0.0,0.0
4,1,60,total,0.0,0.0
4,1,61,total,0.0,0.0
4,1,62,total,0.0,0.0
4,1,63,total,0.0,0.0
4,1,64,total,0.0,0.0
4,1,65,total,0.0,0.0
4,1,66,total,0.0,0.0
