cell,group in,nuclide,mean,std. dev.
3,1,total,0.29249794501694054,0.0017052244840326989
3,2,total,0.2934071100095587,0.0016801493294008203
3,3,total,0.2967982874334768,0.002076882231325316
3,4,total,0.29261560239914536,0.0016902971895613962
3,5,total,0.29390309080785165,0.0015855541367727855
3,6,total,0.2955012050471357,0.0012732989163882313
3,7,total,0.2981146121478222,0.0016144905518327836
3,8,total,0.289327186398039,0.0022562893967240116
3,9,total,0.29259041397714947,0.001931174559887904
3,10,total,0.29595140511320933,0.0015384496070502865
3,11,total,0.293431583851851,0.0014007664677426028
3,12,total,0.29466510872702356,0.0016247381961760538
3,13,total,0.29349556052484266,0.0016123071412039365
3,14,total,0.2960095978970118,0.0020253645189059
3,15,total,0.2981213563964408,0.0020698398254307554
3,16,total,0.29692353117864884,0.001371579053900102
3,17,total,0.2954129283398414,0.0016018709890844595
3,18,total,0.2991727943881048,0.0020870621769987986
3,19,total,0.29519520946117916,0.002415772340807052
3,20,total,0.2950970272006479,0.0023316732099659325
3,21,total,0.29488323756722473,0.0019907365819875015
3,22,total,0.2961433511969702,0.0021936365054865954
3,23,total,0.2971682025123274,0.0013856867746215675
3,24,total,0.2959177241163005,0.0022293808734638976
3,25,total,0.2960595304993866,0.0022637293084296667
3,26,total,0.29668606026278205,0.0021493986751568665
3,27,total,0.29732117554219484,0.0018296334255126026
3,28,total,0.2974207382265478,0.0011452118417594084
3,29,total,0.2984977285266457,0.002169872245788788
3,30,total,0.29685255302284635,0.001884917782120361
3,31,total,0.2977289579899265,0.0012531617493288052
3,32,total,0.29802255980814707,0.0007981875211598495
3,33,total,0.3012278809095651,0.0014315649779694645
3,34,total,0.3001948568871943,0.0007384666070474704
3,35,total,0.3002852786658226,0.0008554460676548127
3,36,total,0.30065748949027515,0.0008911790375145968
3,37,total,0.30166757098395625,0.0007266170528333495
3,38,total,0.30283125109782655,0.0013607429672353696
3,39,total,0.30398204814770274,0.0008950411623168545
3,40,total,0.3037884575009502,0.0017151812714679701
3,41,total,0.3059258032701826,0.0015171497893500068
3,42,total,0.30570403928848006,0.0009443803896741835
3,43,total,0.3102984894985515,0.002121667806803982
3,44,total,0.3103612850754932,0.001745855169459034
3,45,total,0.3117434546985222,0.0020315828515696252
3,46,total,0.31473548831930254,0.002582553795421796
3,47,total,0.3192100214953631,0.0029570742615606595
3,48,total,0.31753177400892096,0.0057947083954465895
3,49,total,0.32550734447679947,0.0036013612188904058
3,50,total,0.3173109957300539,0.013315224564739186
3,51,total,0.3359909768562713,0.005520758116784494
3,52,total,0.3495990719448903,0.013602462330687015
3,53,total,0.35253191911059906,0.010935244292468525
3,54,total,0.39690699761024567,0.034087495131016575
3,55,total,0.3734549404709388,0.02056375436502105
3,56,total,0.3747796002318221,0.024911996449109915
3,57,total,0.3607246601161142,0.04273752499564112
3,58,total,0.41962359342677885,0.027543128094673235
3,59,total,0.3941463969075269,0.05159131931164498
3,60,total,0.445607373357788,0.02730298009679291
3,61,total,0.4625753376767298,0.054379762866814826
3,62,total,0.4638297267787851,0.08659813847567188
3,63,total,0.5226527259377843,0.09234291906750691
3,64,total,0.5282869409150637,0.17349814606346867
3,65,total,0.9401037576165763,0.3792832397276872
3,66,total,0.6599370387056148,0.2303926132556495
3,67,total,1.2388617973612521,0.7526459061036175
3,68,total,0.8729511951562616,0.5621020097850499
3,69,total,1.4539499670465743,1.0463542446008995
3,70,total,0.9900662109612896,1.4001650631887974
3,71,total,1.0222117680107474,0.8493035917683801
3,72,total,0.0,0.0
3,73,total,1.1140409515965306,0.9421437040892617
3,74,total,1.7446481156495124,1.6128397000651726
3,75,total,0.0,0.0
3,76,total,1.2587750644419649,1.7801767681108935
3,77,total,1.2888362747476274,1.8226897394265114
3,78,total,0.0,0.0
